BCHAIN-ATRCT,BCHAIN-MWNUS,BCHAIN-DIFF,BCHAIN-MWNTD,BCHAIN-MWTRV,BCHAIN-AVBLS,BCHAIN-ETRAV,BCHAIN-BLCHS,BCHAIN-TOUTV,BCHAIN-NADDU,BCHAIN-NTRBL,BCHAIN-NTREP,BCHAIN-HRATE,BCHAIN-MIREV,BCHAIN-NTRAT,BCHAIN-CPTRA,BCHAIN-TRVOU,BCHAIN-CPTRV,BCHAIN-ETRVU,BCHAIN-TRFUS,BCHAIN-NTRAN,BCHAIN-TRFEE,BCHAIN-TOTBC,BCHAIN-MKTCP,BCHAIN-MKPRU
11.275,23840698,3.46254E+12,35298,31076.4961,0.596552,69750.85752,161996.5994,785311.5294,360666,1006.967949,150932,26851330.88,16891637.75,306525475,108.7306672,638996171.2,2.826868456,604208316.9,188536.569,157087,21.76498898,16937812.5,1.46722E+11,8662.378333
8.983333333,23828981,3.46254E+12,40321,35766.49099,0.830547677,110642.2147,161903.5373,980288.452,430896,1352.015038,172416,22892480.81,14450536.16,306368388,81.58218416,734259108.9,1.526323092,961129741.4,228095.8571,179818,26.25767336,16935862.5,1.47119E+11,8686.826667
13.775,23808826,3.46254E+12,43862,53320.37356,0.79781907,112702.1514,161793.0744,1103657.685,418187,1295.013986,177713,24613719.97,15534104.9,306188570,85.18440619,826892556.9,1.610638985,979427716.1,240939.733,185187,27.7247885,16934200,1.47165E+11,8690.408333
7.866666667,23791603,3.46254E+12,45291,62263.44681,0.670269184,115928.9862,161678.9863,931832.7359,424455,1281.881579,186851,26162835.21,17009679.09,306003383,88.6768927,770717053.2,1.66569668,1037303973,277606.5024,194846,31.0252744,16932412.5,1.51507E+11,8947.753333
9.316666667,23776420,3.46254E+12,45750,49155.56226,0.793882709,115375.4958,161577.1054,1115427.341,423962,1536.755906,187021,21859737.32,14275767.43,305808537,74.54491846,968836842.6,1.403139435,1036873619,282002.1662,195168,31.3790795,16930512.5,1.52154E+11,8986.948333
7.616666667,23754157,3.46254E+12,45007,69918.11275,0.678044703,133484.3856,161476.2823,1333185.16,421647,1235.664516,182063,26679206.96,16306726.62,305613369,86.44815603,1183523625,1.474539992,1122875101,258927.844,191528,30.78064883,16928925,1.42407E+11,8412.033333
10.775,23738861,3.3817E+12,32383,25440.61032,0.695280424,106127.3184,161371.1854,1620373.97,382257,1088.748344,155432,25990711.3,15423545.81,305421841,95.07577061,1270330308,1.802394489,867210361.7,207005.9514,164401,25.33293823,16926987.5,1.38317E+11,8171.415
11.4,23719698,3.29061E+12,33230,28910.3758,0.515427899,87993.26012,161266.198,2430655.818,352698,1036.885906,147916,24372959.73,14888219.02,305257440,97.47958697,711706325.7,2.141090596,703389492.2,171987.2452,154496,21.51541723,16925100,1.35294E+11,7993.674644
10.3,23704090,3.29061E+12,41752,47246.04414,0.683671737,114974.9698,161189.3992,1047182.678,457060,1198.583333,179043,25517998.11,16634283.9,305102944,90.31616077,771954415.4,1.721811081,980782712.3,252941.5243,186979,29.65177072,16923237.5,1.44362E+11,8530.402
12.65,23690016,3.29061E+12,44906,54879.10183,0.770433132,148147.9504,161082.7465,1948801.689,459149,1431.847222,194745,23555075.18,15044619,304915965,74.45177074,1315209565,1.239737872,1238238594,306293.8018,206186,36.64624829,16921287.5,1.4143E+11,8358.121667
